Country,Crime name,Year,Age,Sex,No of recorded cases,Source
Albania,homicide,2003,Total,Total,158,IAFQ
Armenia,homicide,2003,Total,Total,73,IAFQ
Austria,homicide,2003,Total,Total,37,IAFQ
Bulgaria,homicide,2003,Total,Total,134,IAFQ
Bahrain,homicide,2003,Total,Total,1,IAFQ
Belarus,homicide,2003,Total,Total,921,IAFQ
Bermuda,homicide,2003,Total,Total,2,IAFQ
Canada,homicide,2003,Total,Total,159,IAFQ
Switzerland,homicide,2003,Total,Total,35,IAFQ
Costa Rica,homicide,2003,Total,Total,129,IAFQ
Cyprus,homicide,2003,Total,Total,2,IAFQ
Germany,homicide,2003,Total,Total,122,IAFQ
Denmark,homicide,2003,Total,Total,31,IAFQ
Ecuador,homicide,2003,Total,Total,298,IAFQ
Estonia,homicide,2003,Total,Total,119,IAFQ
Finland,homicide,2003,Total,Total,90,IAFQ
France,homicide,2003,Total,Total,361,IAFQ
United Kingdom (England and Wales),homicide,2003,Total,Total,277,IAFQ
United Kingdom (Scotland),homicide,2003,Total,Total,32,IAFQ
Georgia,homicide,2003,Total,Total,216,IAFQ
"China, Hong Kong Special Administrative Region",homicide,2003,Total,Total,12,IAFQ
Hungary,homicide,2003,Total,Total,206,IAFQ
Ireland,homicide,2003,Total,Total,28,IAFQ
Iceland,homicide,2003,Total,Total,1,IAFQ
Israel,homicide,2003,Total,Total,23,IAFQ
Italy,homicide,2003,Total,Total,822,IAFQ
Japan,homicide,2003,Total,Total,444,IAFQ
Kyrgyzstan,homicide,2003,Total,Total,417,IAFQ
Latvia,homicide,2003,Total,Total,137,IAFQ
Monaco,homicide,2003,Total,Total,0,IAFQ
Republic of Moldova,homicide,2003,Total,Total,263,IAFQ
Mexico,homicide,2003,Total,Total,3391,IAFQ
North Macedonia,homicide,2003,Total,Total,49,IAFQ
Malta,homicide,2003,Total,Total,2,IAFQ
Mongolia,homicide,2003,Total,Total,198,IAFQ
Mauritius,homicide,2003,Total,Total,1,IAFQ
Norway,homicide,2003,Total,Total,31,IAFQ
New Zealand,homicide,2003,Total,Total,21,IAFQ
Panama,homicide,2003,Total,Total,290,IAFQ
Poland,homicide,2003,Total,Total,401,IAFQ
Portugal,homicide,2003,Total,Total,170,IAFQ
State of Palestine,homicide,2003,Total,Total,33,IAFQ
Romania,homicide,2003,Total,Total,1471,IAFQ
Slovakia,homicide,2003,Total,Total,58,IAFQ
Slovenia,homicide,2003,Total,Total,19,IAFQ
Sweden,homicide,2003,Total,Total,137,IAFQ
Turkmenistan,homicide,2003,Total,Total,402,IAFQ
Türkiye,homicide,2003,Total,Total,9056,IAFQ
Uganda,homicide,2003,Total,Total,5,IAFQ
Ukraine,homicide,2003,Total,Total,3250,IAFQ
Albania,homicide,2004,Total,Total,136,IAFQ
Armenia,homicide,2004,Total,Total,68,IAFQ
Australia,homicide,2004,Total,Total,102,IAFQ
Austria,homicide,2004,Total,Total,26,IAFQ
Azerbaijan,homicide,2004,Total,Total,311,IAFQ/NA
Bulgaria,homicide,2004,Total,Total,151,IAFQ
Belarus,homicide,2004,Total,Total,859,IAFQ
Canada,homicide,2004,Total,Total,171,IAFQ
Switzerland,homicide,2004,Total,Total,59,IAFQ
Costa Rica,homicide,2004,Total,Total,136,IAFQ
Cyprus,homicide,2004,Total,Total,5,IAFQ
Czechia,homicide,2004,Total,Total,143,IAFQ
Germany,homicide,2004,Total,Total,144,IAFQ
Denmark,homicide,2004,Total,Total,29,IAFQ
Algeria,homicide,2004,Total,Total,406,IAFQ
Ecuador,homicide,2004,Total,Total,325,IAFQ
Estonia,homicide,2004,Total,Total,106,IAFQ
Finland,homicide,2004,Total,Total,85,IAFQ
France,homicide,2004,Total,Total,356,IAFQ
United Kingdom (England and Wales),homicide,2004,Total,Total,361,IAFQ
United Kingdom (Scotland),homicide,2004,Total,Total,53,IAFQ
Georgia,homicide,2004,Total,Total,216,IAFQ
"China, Hong Kong Special Administrative Region",homicide,2004,Total,Total,8,IAFQ
Croatia,homicide,2004,Total,Total,51,IAFQ
Hungary,homicide,2004,Total,Total,195,IAFQ
India,homicide,2004,Total,Total,22243,IAFQ
Ireland,homicide,2004,Total,Total,23,IAFQ
Israel,homicide,2004,Total,Total,26,IAFQ
Italy,homicide,2004,Total,Total,867,IAFQ
Japan,homicide,2004,Total,Total,470,IAFQ
Kazakhstan,homicide,2004,Total,Total,1561,IAFQ
Kyrgyzstan,homicide,2004,Total,Total,367,IAFQ
Saint Kitts and Nevis,homicide,2004,Total,Total,9,IAFQ
Latvia,homicide,2004,Total,Total,155,IAFQ
Monaco,homicide,2004,Total,Total,1,IAFQ
Republic of Moldova,homicide,2004,Total,Total,244,IAFQ
Mexico,homicide,2004,Total,Total,4220,IAFQ
North Macedonia,homicide,2004,Total,Total,57,IAFQ
Malta,homicide,2004,Total,Total,4,IAFQ
Mongolia,homicide,2004,Total,Total,289,IAFQ
Mauritius,homicide,2004,Total,Total,7,IAFQ
Norway,homicide,2004,Total,Total,33,IAFQ
New Zealand,homicide,2004,Total,Total,21,IAFQ
Panama,homicide,2004,Total,Total,263,IAFQ
Poland,homicide,2004,Total,Total,527,IAFQ
Portugal,homicide,2004,Total,Total,156,IAFQ
State of Palestine,homicide,2004,Total,Total,19,IAFQ
Romania,homicide,2004,Total,Total,1216,IAFQ
Russian Federation,homicide,2004,Total,Total,18518,IAFQ
Slovakia,homicide,2004,Total,Total,57,IAFQ
Slovenia,homicide,2004,Total,Total,27,IAFQ
Sweden,homicide,2004,Total,Total,151,IAFQ
Turkmenistan,homicide,2004,Total,Total,332,IAFQ
Türkiye,homicide,2004,Total,Total,9274,IAFQ
Uganda,homicide,2004,Total,Total,6,IAFQ
Ukraine,homicide,2004,Total,Total,2489,IAFQ
Albania,homicide,2005,Total,Total,128,IAFQ
United Arab Emirates,homicide,2005,Total,Total,38,IAFQ
Argentina,homicide,2005,Total,Total,1044,IAFQ
Armenia,homicide,2005,Total,Total,63,IAFQ
Australia,homicide,2005,Total,Total,135,IAFQ
Austria,homicide,2005,Total,Total,28,IAFQ
Azerbaijan,homicide,2005,Total,Total,326,IAFQ
Bulgaria,homicide,2005,Total,Total,161,IAFQ
Belarus,homicide,2005,Total,Total,922,IAFQ
Bermuda,homicide,2005,Total,Total,1,IAFQ
Canada,homicide,2005,Total,Total,177,IAFQ
Switzerland,homicide,2005,Total,Total,45,IAFQ
Colombia,homicide,2005,Total,Total,3164,IAFQ/NA
Costa Rica,homicide,2005,Total,Total,119,IAFQ
Cyprus,homicide,2005,Total,Total,4,IAFQ
Czechia,homicide,2005,Total,Total,153,IAFQ/NA
Germany,homicide,2005,Total,Total,237,IAFQ
Denmark,homicide,2005,Total,Total,32,IAFQ
Dominican Republic,homicide,2005,Total,Total,310,IAFQ
Egypt,homicide,2005,Total,Total,3255,IAFQ
Spain,homicide,2005,Total,Total,26,IAFQ
Finland,homicide,2005,Total,Total,116,IAFQ
France,homicide,2005,Total,Total,374,IAFQ
United Kingdom (England and Wales),homicide,2005,Total,Total,394,IAFQ
United Kingdom (Northern Ireland),homicide,2005,Total,Total,15,IAFQ
United Kingdom (Scotland),homicide,2005,Total,Total,47,IAFQ
Georgia,homicide,2005,Total,Total,128,IAFQ
"China, Hong Kong Special Administrative Region",homicide,2005,Total,Total,12,IAFQ/NA
Croatia,homicide,2005,Total,Total,63,IAFQ
Hungary,homicide,2005,Total,Total,150,IAFQ
India,homicide,2005,Total,Total,20998,IAFQ
Israel,homicide,2005,Total,Total,26,IAFQ
Italy,homicide,2005,Total,Total,806,IAFQ
Japan,homicide,2005,Total,Total,504,IAFQ
Kazakhstan,homicide,2005,Total,Total,1478,IAFQ
Kyrgyzstan,homicide,2005,Total,Total,401,IAFQ
Saint Kitts and Nevis,homicide,2005,Total,Total,2,IAFQ
Liechtenstein,homicide,2005,Total,Total,0,IAFQ
Lithuania,homicide,2005,Total,Total,263,IAFQ
Latvia,homicide,2005,Total,Total,103,IAFQ
Monaco,homicide,2005,Total,Total,0,IAFQ
Republic of Moldova,homicide,2005,Total,Total,274,IAFQ
Mexico,homicide,2005,Total,Total,4406,IAFQ
North Macedonia,homicide,2005,Total,Total,39,IAFQ
Malta,homicide,2005,Total,Total,2,IAFQ
Mongolia,homicide,2005,Total,Total,312,IAFQ
Mauritius,homicide,2005,Total,Total,5,IAFQ
Malaysia,homicide,2005,Total,Total,242,IAFQ
Netherlands (Kingdom of the),homicide,2005,Total,Total,1514,IAFQ
Norway,homicide,2005,Total,Total,36,IAFQ
Nepal,homicide,2005,Total,Total,335,IAFQ
New Zealand,homicide,2005,Total,Total,20,IAFQ
Panama,homicide,2005,Total,Total,272,IAFQ
Philippines,homicide,2005,Total,Total,69,IAFQ
Poland,homicide,2005,Total,Total,455,IAFQ
Portugal,homicide,2005,Total,Total,149,IAFQ
State of Palestine,homicide,2005,Total,Total,16,IAFQ
Romania,homicide,2005,Total,Total,1067,IAFQ
Russian Federation,homicide,2005,Total,Total,18230,IAFQ
Singapore,homicide,2005,Total,Total,12,IAFQ
Slovakia,homicide,2005,Total,Total,63,IAFQ
Slovenia,homicide,2005,Total,Total,19,IAFQ
Sweden,homicide,2005,Total,Total,146,IAFQ
Turkmenistan,homicide,2005,Total,Total,305,IAFQ
Türkiye,homicide,2005,Total,Total,12676,IAFQ
Ukraine,homicide,2005,Total,Total,2351,IAFQ
Saint Vincent and the Grenadines,homicide,2005,Total,Total,3,IAFQ
Albania,homicide,2006,Total,Total,95,IAFQ/NA
United Arab Emirates,homicide,2006,Total,Total,28,IAFQ
Argentina,homicide,2006,Total,Total,1044,IAFQ
Armenia,homicide,2006,Total,Total,23,IAFQ
Australia,homicide,2006,Total,Total,114,IAFQ/NA
Austria,homicide,2006,Total,Total,40,IAFQ/NA
Azerbaijan,homicide,2006,Total,Total,269,IAFQ
Bulgaria,homicide,2006,Total,Total,137,IAFQ
Belarus,homicide,2006,Total,Total,975,IAFQ/NA
Bermuda,homicide,2006,Total,Total,3,IAFQ
Canada,homicide,2006,Total,Total,165,IAFQ
Switzerland,homicide,2006,Total,Total,54,IAFQ
Costa Rica,homicide,2006,Total,Total,128,IAFQ
Cyprus,homicide,2006,Total,Total,9,IAFQ
Czechia,homicide,2006,Total,Total,121,IAFQ
Germany,homicide,2006,Total,Total,204,IAFQ/NA
Denmark,homicide,2006,Total,Total,27,IAFQ
Dominican Republic,homicide,2006,Total,Total,628,IAFQ
Algeria,homicide,2006,Total,Total,821,IAFQ
Egypt,homicide,2006,Total,Total,3123,IAFQ
Spain,homicide,2006,Total,Total,34,IAFQ
Finland,homicide,2006,Total,Total,74,IAFQ
France,homicide,2006,Total,Total,382,IAFQ
United Kingdom (England and Wales),homicide,2006,Total,Total,372,IAFQ
United Kingdom (Scotland),homicide,2006,Total,Total,57,IAFQ
Georgia,homicide,2006,Total,Total,311,IAFQ
"China, Hong Kong Special Administrative Region",homicide,2006,Total,Total,16,IAFQ
Croatia,homicide,2006,Total,Total,81,IAFQ
Hungary,homicide,2006,Total,Total,159,IAFQ
India,homicide,2006,Total,Total,22457,IAFQ
Israel,homicide,2006,Total,Total,26,IAFQ
Italy,homicide,2006,Total,Total,645,IAFQ
Japan,homicide,2006,Total,Total,429,IAFQ
Kazakhstan,homicide,2006,Total,Total,1287,IAFQ
Kyrgyzstan,homicide,2006,Total,Total,403,IAFQ
Saint Kitts and Nevis,homicide,2006,Total,Total,0,IAFQ
Republic of Korea,homicide,2006,Total,Total,641,IAFQ
Liechtenstein,homicide,2006,Total,Total,0,IAFQ
Lithuania,homicide,2006,Total,Total,278,IAFQ
Latvia,homicide,2006,Total,Total,101,IAFQ
Monaco,homicide,2006,Total,Total,0,IAFQ
Republic of Moldova,homicide,2006,Total,Total,280,IAFQ
Mexico,homicide,2006,Total,Total,4263,IAFQ
North Macedonia,homicide,2006,Total,Total,42,IAFQ
Malta,homicide,2006,Total,Total,1,IAFQ
Mongolia,homicide,2006,Total,Total,284,IAFQ
Mauritius,homicide,2006,Total,Total,10,IAFQ
Malaysia,homicide,2006,Total,Total,159,IAFQ
Netherlands (Kingdom of the),homicide,2006,Total,Total,1271,IAFQ
Norway,homicide,2006,Total,Total,25,IAFQ
Nepal,homicide,2006,Total,Total,261,IAFQ
New Zealand,homicide,2006,Total,Total,22,IAFQ
Panama,homicide,2006,Total,Total,233,IAFQ
Philippines,homicide,2006,Total,Total,72,IAFQ
Poland,homicide,2006,Total,Total,374,IAFQ
Portugal,homicide,2006,Total,Total,166,IAFQ
Paraguay,homicide,2006,Total,Total,534,IAFQ
State of Palestine,homicide,2006,Total,Total,35,IAFQ
Romania,homicide,2006,Total,Total,845,IAFQ
Russian Federation,homicide,2006,Total,Total,16134,IAFQ
Singapore,homicide,2006,Total,Total,17,IAFQ
Serbia,homicide,2006,Total,Total,146,IAFQ
Slovakia,homicide,2006,Total,Total,48,IAFQ/NA
Slovenia,homicide,2006,Total,Total,44,IAFQ
Sweden,homicide,2006,Total,Total,163,IAFQ
Turkmenistan,homicide,2006,Total,Total,222,IAFQ
Türkiye,homicide,2006,Total,Total,14010,IAFQ
Ukraine,homicide,2006,Total,Total,2228,IAFQ
Albania,homicide,2007,Total,Total,92,IAFQ
Argentina,homicide,2007,Total,Total,1026,IAFQ
Armenia,homicide,2007,Total,Total,16,IAFQ
Australia,homicide,2007,Total,Total,113,IAFQ
Austria,homicide,2007,Total,Total,42,IAFQ
Azerbaijan,homicide,2007,Total,Total,295,IAFQ
Bulgaria,homicide,2007,Total,Total,204,IAFQ
Barbados,homicide,2007,Total,Total,2,IAFQ
Canada,homicide,2007,Total,Total,171,IAFQ
Switzerland,homicide,2007,Total,Total,45,IAFQ
Chile,homicide,2007,Total,Total,1243,IAFQ
Colombia,homicide,2007,Total,Total,3844,IAFQ
Costa Rica,homicide,2007,Total,Total,117,IAFQ
Cyprus,homicide,2007,Total,Total,15,IAFQ
Czechia,homicide,2007,Total,Total,118,IAFQ
Denmark,homicide,2007,Total,Total,18,IAFQ
Dominican Republic,homicide,2007,Total,Total,661,IAFQ
Algeria,homicide,2007,Total,Total,954,IAFQ
Finland,homicide,2007,Total,Total,79,IAFQ
France,homicide,2007,Total,Total,417,IAFQ
United Kingdom (England and Wales),homicide,2007,Total,Total,369,IAFQ
United Kingdom (Northern Ireland),homicide,2007,Total,Total,12,IAFQ
United Kingdom (Scotland),homicide,2007,Total,Total,53,IAFQ
Georgia,homicide,2007,Total,Total,320,IAFQ
Grenada,homicide,2007,Total,Total,8,IAFQ
"China, Hong Kong Special Administrative Region",homicide,2007,Total,Total,11,IAFQ
Croatia,homicide,2007,Total,Total,60,IAFQ
Hungary,homicide,2007,Total,Total,157,IAFQ
India,homicide,2007,Total,Total,20597,IAFQ
Israel,homicide,2007,Total,Total,31,IAFQ
Italy,homicide,2007,Total,Total,667,IAFQ
Japan,homicide,2007,Total,Total,332,IAFQ
Kazakhstan,homicide,2007,Total,Total,1356,IAFQ
Kyrgyzstan,homicide,2007,Total,Total,435,IAFQ
Saint Kitts and Nevis,homicide,2007,Total,Total,8,IAFQ
Republic of Korea,homicide,2007,Total,Total,757,IAFQ
Lithuania,homicide,2007,Total,Total,210,IAFQ
Latvia,homicide,2007,Total,Total,124,IAFQ
Monaco,homicide,2007,Total,Total,0,IAFQ
Republic of Moldova,homicide,2007,Total,Total,205,IAFQ
Mexico,homicide,2007,Total,Total,4248,IAFQ
North Macedonia,homicide,2007,Total,Total,47,IAFQ
Malta,homicide,2007,Total,Total,4,IAFQ/NA
Mongolia,homicide,2007,Total,Total,276,IAFQ
Mauritius,homicide,2007,Total,Total,8,IAFQ
Norway,homicide,2007,Total,Total,13,IAFQ
New Zealand,homicide,2007,Total,Total,31,IAFQ
Panama,homicide,2007,Total,Total,269,IAFQ
Peru,homicide,2007,Total,Total,505,IAFQ/NA
Poland,homicide,2007,Total,Total,269,IAFQ
Portugal,homicide,2007,Total,Total,151,IAFQ
Paraguay,homicide,2007,Total,Total,580,IAFQ
State of Palestine,homicide,2007,Total,Total,18,IAFQ
Romania,homicide,2007,Total,Total,763,IAFQ
Russian Federation,homicide,2007,Total,Total,14535,IAFQ
Serbia,homicide,2007,Total,Total,129,IAFQ
Slovakia,homicide,2007,Total,Total,78,IAFQ
Slovenia,homicide,2007,Total,Total,32,IAFQ
Türkiye,homicide,2007,Total,Total,11389,IAFQ
Albania,homicide,2008,Total,Total,96,IAFQ
Andorra,homicide,2008,Total,Total,0,IAFQ
Argentina,homicide,2008,Total,Total,1094,IAFQ
Armenia,homicide,2008,Total,Total,31,IAFQ
Australia,homicide,2008,Total,Total,94,IAFQ
Austria,homicide,2008,Total,Total,26,IAFQ
Azerbaijan,homicide,2008,Total,Total,277,IAFQ
Bulgaria,homicide,2008,Total,Total,143,IAFQ
Bahamas,homicide,2008,Total,Total,10,IAFQ
Bosnia and Herzegovina,homicide,2008,Total,Total,115,IAFQ
Barbados,homicide,2008,Total,Total,0,IAFQ
Canada,homicide,2008,Total,Total,135,IAFQ
Switzerland,homicide,2008,Total,Total,40,IAFQ
Chile,homicide,2008,Total,Total,1312,IAFQ
Colombia,homicide,2008,Total,Total,3296,IAFQ
Costa Rica,homicide,2008,Total,Total,167,IAFQ
Cyprus,homicide,2008,Total,Total,4,IAFQ
Czechia,homicide,2008,Total,Total,136,IAFQ
Denmark,homicide,2008,Total,Total,22,IAFQ/NA
Dominican Republic,homicide,2008,Total,Total,513,IAFQ
Algeria,homicide,2008,Total,Total,890,IAFQ
Finland,homicide,2008,Total,Total,93,IAFQ
France,homicide,2008,Total,Total,661,IAFQ
United Kingdom (England and Wales),homicide,2008,Total,Total,439,IAFQ
United Kingdom (Northern Ireland),homicide,2008,Total,Total,10,IAFQ
United Kingdom (Scotland),homicide,2008,Total,Total,60,IAFQ
Georgia,homicide,2008,Total,Total,227,IAFQ/NA
Grenada,homicide,2008,Total,Total,7,IAFQ/NA
"China, Hong Kong Special Administrative Region",homicide,2008,Total,Total,7,IAFQ
Croatia,homicide,2008,Total,Total,43,IAFQ
Hungary,homicide,2008,Total,Total,136,IAFQ
India,homicide,2008,Total,Total,20834,IAFQ/NA
Iraq (Central Iraq),homicide,2008,Total,Total,1677,IAFQ
Israel,homicide,2008,Total,Total,29,IAFQ
Italy,homicide,2008,Total,Total,616,IAFQ/NA
Japan,homicide,2008,Total,Total,367,IAFQ
Kazakhstan,homicide,2008,Total,Total,1385,IAFQ
Kyrgyzstan,homicide,2008,Total,Total,405,IAFQ
